player_id,name,position,dob,age,height
336722,Alan PULIDO,Forward,08.03.1991,23,176
368902,Adam TAGGART,Forward,02.06.1993,21,172
362641,Reza GHOOCHANNEJAD,Forward,20.09.1987,26,181
314197,NEYMAR,Forward,05.02.1992,22,175
212306,Didier DROGBA,Forward,11.03.1978,36,180
229884,David VILLA,Forward,03.12.1981,32,175
305372,Abel HERNANDEZ,Forward,08.08.1990,23,186
228599,Javier HERNANDEZ,Forward,01.06.1988,26,175
300409,Edin DZEKO,Forward,17.03.1986,28,192
184615,Klaas Jan HUNTELAAR,Forward,12.08.1983,30,187
271550,Gonzalo HIGUAIN,Forward,10.12.1987,26,184
227851,Oribe PERALTA,Forward,12.01.1984,30,177
354859,Islam SLIMANI,Forward,18.06.1988,26,188
182206,Miroslav KLOSE,Forward,09.06.1978,36,182
217315,Robin VAN PERSIE,Forward,06.08.1983,30,186
286278,Shinji OKAZAKI,Forward,16.04.1986,28,174
270775,Luis SUAREZ,Forward,24.01.1987,27,181
233952,FRED,Forward,03.10.1983,30,186
312316,Eric CHOUPO MOTING,Forward,23.03.1989,25,190
356411,Fabian SCHAER,Defender,20.12.1991,22,186
338673,Uche NWOFOR,Forward,17.09.1991,22,177
373224,Rickie LAMBERT,Forward,16.02.1982,32,188
379894,Miiko ALBORNOZ,Defender,30.11.1990,23,180
208353,Asamoah GYAN,Forward,22.11.1985,28,186
296994,El Arabi SOUDANI,Forward,25.11.1987,26,177
339508,Chris WONDOLOWSKI,Forward,28.01.1983,31,182
213001,Tim CAHILL,Forward,06.12.1979,34,180
214384,EDUARDO_1,Forward,25.02.1983,31,177
170667,Samuel ETOO,Forward,10.03.1981,33,181
271414,Carlo COSTLY,Forward,18.07.1982,31,190
275096,Yoichiro KAKITANI,Forward,03.01.1990,24,177
270301,Eduardo VARGAS,Forward,20.11.1989,24,175
201200,CRISTIANO RONALDO,Forward,05.02.1985,29,185
323623,Jerry BENGTSON,Forward,08.04.1987,27,187
229397,Lionel MESSI,Forward,24.06.1987,26,169
235097,Mubarak WAKASO,Midfielder,25.07.1990,23,171
356399,Josip DRMIC,Forward,08.08.1992,21,182
196842,Wayne ROONEY,Forward,24.10.1985,28,176
228528,Sergio AGUERO,Forward,02.06.1988,26,172
309716,Teofilo GUTIERREZ,Forward,17.05.1985,29,180
301059,Mario BALOTELLI,Forward,12.08.1990,23,189
364763,Emmanuel EMENIKE,Forward,10.05.1987,27,182
196789,Lukas PODOLSKI,Forward,04.06.1985,29,180
187203,HELDER POSTIGA,Forward,02.08.1982,31,182
367261,Nabil GHILAS,Forward,20.04.1990,24,183
207761,PARK Chuyoung,Forward,10.07.1985,28,183
306548,Andre SCHUERRLE,Forward,06.11.1990,23,184
275136,Yuya OSAKO,Forward,18.05.1990,24,182
300411,Vedad IBISEVIC,Forward,06.08.1984,29,189
233500,Keisuke HONDA,Forward,13.06.1986,28,182
274034,Danny WELBECK,Forward,26.11.1990,23,184
306532,Daniel STURRIDGE,Forward,01.09.1989,24,179
319470,Mario GAVRANOVIC,Forward,24.11.1989,24,175
318601,Pedro RODRIGUEZ,Forward,28.07.1987,26,169
319311,Marco FABIAN,Midfielder,21.07.1989,24,171
321722,Thomas MUELLER,Forward,13.09.1989,24,186
214135,Pierre WEBO,Forward,20.01.1982,32,180
352394,Marco REUS,Forward,31.05.1989,25,180
207851,Clint DEMPSEY,Forward,09.03.1983,31,185
353118,Wilfried BONY,Forward,10.12.1988,25,182
230517,Theofanis GEKAS,Forward,23.05.1980,34,179
183864,Fernando TORRES,Forward,20.03.1984,30,186
216970,Salomon KALOU,Forward,05.08.1985,28,175
228627,Alexis SANCHEZ,Forward,19.12.1988,25,169
291393,KOO Jacheol,Forward,27.02.1989,25,182
298681,Jeremain LENS,Forward,24.11.1987,26,178
229506,Cristhian STUANI,Forward,12.10.1986,27,186
373400,Enner VALENCIA,Forward,04.11.1989,24,179
186455,Shola AMEOBI,Forward,12.10.1981,32,188
218306,WILLIAN,Midfielder,09.08.1988,25,176
358891,Oleg SHATOV,Midfielder,29.07.1990,23,176
306900,Okechukwu UCHEBO,Forward,03.02.1990,24,194
336435,Antoine GRIEZMANN,Forward,21.03.1991,23,175
189259,Diego FORLAN,Forward,19.05.1979,35,181
267834,Edinson CAVANI,Forward,14.02.1987,27,188
268596,Shinji KAGAWA,Forward,17.03.1989,25,172
214410,HUGO ALMEIDA,Forward,23.05.1984,30,193
305036,Mesut OEZIL,Midfielder,15.10.1988,25,180
186808,Aleksandr KERZHAKOV,Forward,27.11.1982,31,175
217172,JO,Forward,20.03.1987,27,191
358112,Romelu LUKAKU,Forward,13.05.1993,21,190
216071,Zvjezdan MISIMOVIC,Midfielder,05.06.1982,32,180
196812,Ashkan DEJAGAH,Forward,05.07.1986,27,182
228715,Felipe CAICEDO,Forward,05.09.1988,25,183
270144,Marcos URENA,Forward,05.03.1990,24,179
349572,Jaimen AYOVI,Forward,21.02.1988,26,186
312868,OSCAR,Midfielder,09.09.1991,22,181
349512,Carlos BACCA,Forward,08.09.1986,27,181
366573,Saphir TAIDER,Midfielder,29.02.1992,22,179
184616,Arjen ROBBEN,Forward,23.01.1984,30,180
313832,Jackson MARTINEZ,Forward,03.10.1986,27,186
330689,JI Dongwon,Midfielder,28.05.1991,23,186
238072,Jozy ALTIDORE,Forward,06.11.1989,24,185
313874,Esteban PAREDES,Forward,01.08.1980,33,179
297383,Roman SHIROKOV,Midfielder,06.07.1981,32,183
297103,Karim BENZEMA,Forward,19.12.1987,26,185
297839,Konan YA,Midfielder,22.05.1984,30,174
268149,LEE Keunho,Forward,11.04.1985,29,177
274090,Victor MOSES,Forward,12.12.1990,23,177
184291,Maxi RODRIGUEZ,Midfielder,02.01.1981,33,180
185385,Frank LAMPARD,Midfielder,20.06.1978,36,181
307529,Joel CAMPBELL,Forward,26.06.1992,21,178
177927,Antonio CASSANO,Forward,12.07.1982,31,175
319358,Sofiane FEGHOULI,Forward,26.12.1989,24,177
267811,Juan MATA,Forward,28.04.1988,26,171
321653,Xherdan SHAQIRI,Midfielder,10.10.1991,22,169
185641,Javad NEKOUNAM,Midfielder,07.09.1980,33,188
215002,Wesley SNEIJDER,Midfielder,09.06.1984,30,171
375518,Mario MANDZUKIC,Forward,21.05.1986,28,188
318172,HULK,Forward,25.07.1986,27,179
183000,Sulley MUNTARI,Midfielder,27.08.1984,29,179
318768,Konstantinos MITROGLOU,Forward,12.03.1988,26,188
200176,David SILVA,Midfielder,08.01.1986,28,170
290186,GERVINHO,Forward,27.05.1987,27,179
302539,Alan DZAGOEV,Midfielder,17.06.1990,24,178
309316,Mario GOETZE,Forward,03.06.1992,22,176
307849,SON Heungmin,Midfielder,08.07.1992,21,183
367393,Majeed WARIS,Forward,19.09.1991,22,172
375459,Fidel MARTINEZ,Midfielder,15.02.1990,24,176
367347,Aron JOHANNSSON,Forward,10.11.1990,23,182
356403,Izet HAJROVIC,Midfielder,04.08.1991,22,177
275112,Manabu SAITO,Forward,04.04.1990,24,169
319438,Georginio WIJNALDUM,Midfielder,11.11.1990,23,175
359235,Lorenzo INSIGNE,Forward,04.06.1991,23,163
379972,Acquah AFRIYIE,Midfielder,01.05.1992,22,162
369058,Ante REBIC,Forward,21.09.1993,20,185
217313,Dirk KUYT,Forward,22.07.1980,33,184
358015,Olivier GIROUD,Forward,30.09.1986,27,192
358048,Alexander KOKORIN,Forward,19.03.1991,23,182
196752,Bastian SCHWEINSTEIGER,Midfielder,01.08.1984,29,183
358120,Kevin DE BRUYNE,Midfielder,28.06.1991,22,181
330659,Karim ANSARI FARD,Forward,03.04.1990,24,185
300235,Victor FAYZULIN,Midfielder,22.04.1986,28,176
213953,Jerry PALACIOS,Midfielder,13.05.1982,32,181
356198,Alex OXLADE CHAMBERLAIN,Midfielder,15.08.1993,20,180
236530,Celso BORGES,Midfielder,27.05.1988,26,184
214876,Bryan RUIZ,Forward,18.08.1985,28,187
299878,Loic REMY,Forward,02.01.1987,27,185
234551,Giovani DOS SANTOS,Forward,11.05.1989,25,179
237058,Randall BRENES,Forward,13.08.1983,30,170
290452,Jefferson MONTERO,Midfielder,01.09.1989,24,170
290903,Kevin MIRALLAS,Forward,05.10.1987,26,179
266800,Angel DI MARIA,Midfielder,14.02.1988,26,178
362727,PAULINHO,Midfielder,25.07.1988,25,181
306954,Jordi ALBA,Defender,21.03.1989,25,170
367388,Paul POGBA,Midfielder,15.03.1993,21,192
359217,Marco VERRATTI,Midfielder,05.11.1992,21,168
379886,Alireza JAHAN BAKHSH,Forward,11.08.1993,20,181
187258,Ivica OLIC,Forward,14.09.1979,34,183
248373,Franck RIBERY,Forward,07.04.1983,31,175
198106,Yaya TOURE,Midfielder,13.05.1983,31,189
254167,NANI,Forward,17.11.1986,27,175
214961,Steven GERRARD,Midfielder,30.05.1980,34,185
269058,James RODRIGUEZ,Midfielder,12.07.1991,22,180
210704,Darijo SRNA,Defender,01.05.1982,32,182
216435,Alexander SAMEDOV,Forward,19.07.1984,29,178
254166,VARELA,Forward,02.02.1985,29,180
355997,Christian ATSU,Midfielder,10.01.1992,22,165
178299,Mark BRESCIANO,Midfielder,11.02.1980,34,182
297705,Santi CAZORLA,Midfielder,13.12.1984,29,169
356731,Raul JIMENEZ,Forward,05.05.1991,23,186
215513,Dimitrios SALPINGIDIS,Forward,18.08.1981,32,171
214228,Peter ODEMWINGIE,Forward,15.07.1981,32,181
299198,Miralem PJANIC,Midfielder,02.04.1990,24,180
358024,Ioannis FETFATZIDIS,Forward,21.12.1990,23,164
367913,DANTE,Defender,18.10.1983,30,189
196897,Kevin Prince BOATENG,Forward,06.03.1987,27,182
371044,Miguel LAYUN,Defender,25.06.1988,25,178
353235,Jordan AYEW,Forward,11.09.1991,22,160
208016,FERNANDINHO,Midfielder,04.05.1985,29,179
316997,Enzo PEREZ,Midfielder,22.02.1986,28,177
356407,Michael LANG,Defender,08.02.1991,23,185
178842,Edison MENDEZ,Midfielder,16.03.1979,35,175
290902,Marouane FELLAINI,Midfielder,22.11.1987,26,194
201787,Mauricio PINILLA,Forward,04.02.1984,30,185
209119,Daniele DE ROSSI,Midfielder,24.07.1983,30,182
175524,Michael ESSIEN,Midfielder,03.12.1982,31,180
312672,Mix DISKERUD,Midfielder,02.10.1990,23,182
316117,Nikica JELAVIC,Forward,27.08.1985,28,187
311558,Granit XHAKA,Midfielder,27.09.1992,21,183
217117,Carlos VALDES,Defender,22.05.1985,29,189
297106,Mathieu VALBUENA,Midfielder,28.09.1984,29,167
267543,Arturo VIDAL,Midfielder,22.05.1987,27,178
358108,Nacer CHADLI,Midfielder,02.08.1989,24,187
274946,Emmanuel AGYEMANG BADU,Midfielder,02.12.1990,23,173
175498,DaMarcus BEASLEY,Defender,24.05.1982,32,170
200179,Cesc FABREGAS,Midfielder,04.05.1987,27,175
296633,Ivan RAKITIC,Midfielder,10.03.1988,26,184
212410,KWAK Taehwi,Defender,08.07.1981,32,185
215623,Alberto AQUILANI,Midfielder,07.07.1984,29,184
233531,Michael BRADLEY,Midfielder,31.07.1987,26,185
233167,Haris MEDUNJANIN,Midfielder,08.03.1985,29,188
207906,JUANFRAN,Defender,09.01.1985,29,180
298892,Augusto FERNANDEZ,Midfielder,10.04.1986,28,177
354875,Abdelmoumene DJABOU,Forward,31.01.1987,27,168
372989,Ermin BICAKCIC,Defender,24.01.1990,24,185
321697,Mathew LECKIE,Forward,04.02.1991,23,181
367396,Fabrice OLINGA,Forward,12.05.1996,18,177
251352,Andres GUARDADO,Defender,28.09.1986,27,167
229392,Ezequiel LAVEZZI,Forward,03.05.1985,29,173
207528,Xabi ALONSO,Midfielder,25.11.1981,32,183
210214,RAUL MEIRELES,Midfielder,17.03.1983,31,179
360728,Graham ZUSI,Midfielder,18.08.1986,27,177
209979,Tranquillo BARNETTA,Midfielder,22.05.1985,29,178
344714,Ahmed MUSA,Forward,14.10.1992,21,176
273996,Eden HAZARD,Midfielder,07.01.1991,23,172
218284,MARCELO,Defender,12.05.1988,26,174
358736,Bruno MARTINS INDI,Defender,08.02.1992,22,186
305764,Gary CAHILL,Defender,19.12.1985,28,191
210213,BRUNO ALVES,Defender,27.11.1981,32,187
375523,Daniel VAN BUYTEN,Defender,07.02.1978,36,196
178119,Rafael MARQUEZ,Defender,13.02.1979,35,184
183857,Andres INIESTA,Midfielder,11.05.1984,30,170
297331,Valentin STOCKER,Midfielder,12.04.1989,25,179
349592,Eugenio MENA,Defender,18.07.1988,25,174
296118,Benjamin MOUKANDJO,Forward,12.11.1988,25,178
349517,Victor IBARBO,Forward,19.05.1990,24,188
177876,Andrea PIRLO,Midfielder,19.05.1979,35,177
353119,Max GRADEL,Midfielder,30.11.1987,26,177
275162,Toni KROOS,Midfielder,04.01.1990,24,182
358049,Denis GLUSHAKOV,Midfielder,27.01.1987,27,182
305378,Nicolas LODEIRO,Midfielder,21.03.1989,25,173
202544,Antonio VALENCIA,Midfielder,04.08.1985,28,180
184545,Segundo CASTILLO,Midfielder,15.05.1982,32,180
216567,Cristian RODRIGUEZ,Midfielder,30.09.1985,28,178
268414,LEE Chungyong,Midfielder,02.07.1988,25,180
289195,Paul AGUILAR,Defender,06.03.1986,28,178
321745,KIM Shinwook,Forward,14.04.1988,26,196
309714,Juan CUADRADO,Midfielder,26.05.1988,26,178
291389,KIM Bokyung,Midfielder,06.10.1989,24,178
274135,Mamadou SAKHO,Defender,13.02.1990,24,186
295153,Ahmad ALNAMEH,Defender,20.10.1982,31,189
268594,Masato MORISHIGE,Defender,21.05.1987,27,183
369990,Rony MARTINEZ,Forward,16.10.1987,26,171
336837,Diego CALVO,Midfielder,25.03.1991,23,178
297112,Georgios SAMARAS,Forward,21.02.1985,29,192
241559,Luka MODRIC,Midfielder,09.09.1985,28,173
228336,Vasileios TOROSIDIS,Defender,10.06.1985,29,185
229502,Alvaro PEREIRA,Midfielder,28.11.1985,28,182
359381,Ivan PERISIC,Midfielder,02.02.1989,25,187
349574,Michael ARROYO,Midfielder,23.04.1987,27,178
198243,Abel AGUILAR,Midfielder,06.01.1985,29,187
290821,Axel WITSEL,Midfielder,12.01.1989,25,183
237949,Andranik TIMOTIAN,Midfielder,06.03.1983,31,178
298582,John BOYE,Defender,23.04.1987,27,160
213170,Masoud SHOJAEI,Forward,09.06.1984,30,185
358011,Mathieu DEBUCHY,Defender,28.07.1985,28,178
318150,Charles ARANGUIZ,Midfielder,17.04.1989,25,171
290605,James TROISI,Midfielder,03.07.1988,25,177
356669,BERNARD,Forward,08.09.1992,21,166
181406,MAICON,Defender,26.07.1981,32,186
227839,Marvin CHAVEZ,Midfielder,03.11.1983,30,156
304934,Roger ESPINOZA,Midfielder,25.10.1986,27,180
239433,Diego LUGANO,Defender,02.11.1980,33,188
300407,Sejad SALIHOVIC,Midfielder,08.10.1984,29,182
298959,RAMIRES,Midfielder,24.03.1987,27,181
230739,Rodrigo PALACIO,Forward,05.02.1982,32,175
209989,Philippe SENDEROS,Defender,14.02.1985,29,190
197514,Mile JEDINAK,Midfielder,03.08.1984,29,188
177855,Xavi HERNANDEZ,Midfielder,25.01.1980,34,170
300402,Senijad IBRICIC,Midfielder,26.09.1985,28,185
290800,Dario VIDOSIC,Midfielder,08.04.1987,27,185
365464,Juan MONTES,Defender,26.12.1985,28,196
311554,Haris SEFEROVIC,Forward,22.02.1992,22,187
358692,Julian DRAXLER,Midfielder,20.09.1993,20,185
184447,Walter AYOVI,Midfielder,11.08.1979,34,173
180936,Yoshito OKUBO,Forward,09.06.1982,32,170
290825,Moussa DEMBELE,Midfielder,16.07.1987,26,185
196900,Sami KHEDIRA,Midfielder,04.04.1987,27,189
268406,KI Sungyueng,Midfielder,24.01.1989,25,186
294620,Andre AYEW,Midfielder,17.12.1989,24,175
177768,Yasuhito ENDO,Midfielder,28.01.1980,34,178
218253,Carlos SALCIDO,Defender,02.04.1980,34,176
209502,Jean BEAUSEJOUR,Midfielder,01.06.1984,30,178
267527,Gary MEDEL,Defender,03.08.1987,26,171
296297,Mario MARTINEZ,Midfielder,30.07.1989,24,173
183882,Hassan YEBDA,Midfielder,14.05.1984,30,188
239424,HERNANES,Midfielder,29.05.1985,29,180
358114,Dries MERTENS,Midfielder,06.05.1987,27,164
318034,Federico FERNANDEZ,Defender,21.02.1989,25,190
312432,Dejan LOVREN,Defender,05.07.1989,24,188
323698,Vincent ABOUBAKAR,Forward,22.01.1992,22,176
261029,Gokhan INLER,Midfielder,27.06.1984,29,181
214887,Konstantinos KATSOURANIS,Midfielder,21.06.1979,35,183
190962,DANI ALVES,Defender,06.05.1983,31,175
271182,Michael BARRANTES,Midfielder,04.10.1983,30,177
299960,Phil JAGIELKA,Defender,17.08.1982,31,183
200847,Adrian RAMOS,Forward,22.01.1986,28,184
281252,Fabian ORELLANA,Forward,27.01.1986,28,168
196605,Stephan LICHTSTEINER,Defender,16.01.1984,30,180
216814,Sergio RAMOS,Defender,30.03.1986,28,183
216874,Nicolas LOMBAERTS,Defender,20.03.1985,29,188
356162,Esseid BELKALEM,Defender,01.01.1989,25,190
168832,Georgios KARAGOUNIS,Midfielder,06.03.1977,37,176
199600,Jean MAKOUN,Midfielder,29.05.1983,31,170
178403,Joseph YOBO,Defender,06.09.1980,33,185
297377,Ognjen VUKOJEVIC,Midfielder,20.12.1983,30,184
278072,Jalal HOSSEINI,Defender,03.02.1982,32,185
202655,Jorge VALDIVIA,Midfielder,19.10.1983,30,173
290904,Jan VERTONGHEN,Defender,24.04.1987,27,189
197411,Mark MILLIGAN,Midfielder,04.08.1985,28,178
213124,Amirhossein SADEGHI,Defender,06.09.1981,32,185
364707,Albert ADOMAH,Midfielder,13.12.1987,26,162
303394,Carlos PENA,Midfielder,29.03.1990,24,176
306424,Tommy OAR,Midfielder,10.12.1991,22,170
269784,FABIO COENTRAO,Defender,11.03.1988,26,181
234463,John Obi MIKEL,Midfielder,22.04.1987,27,188
358013,Yohan CABAYE,Midfielder,14.01.1986,28,175
311150,Mats HUMMELS,Defender,16.12.1988,25,192
305972,Joao ROJAS,Forward,14.06.1989,25,173
216004,Vincent KOMPANY,Defender,10.04.1986,28,190
216973,Gerard PIQUE,Defender,02.02.1987,27,192
215208,Madjid BOUGUERRA,Defender,07.10.1982,31,189
294619,Kwadwo ASAMOAH,Midfielder,09.12.1988,25,168
200219,Fredy GUARIN,Midfielder,30.06.1986,27,187
3408,Mario YEPES,Defender,13.01.1976,38,186
200935,Stephane MBIA,Midfielder,20.05.1986,28,190
230114,Jorge CLAROS,Midfielder,08.01.1986,28,176
215274,Giorgio CHIELLINI,Defender,14.08.1984,29,192
268821,Giancarlo GONZALEZ,Defender,08.02.1988,26,192
295157,Hashem BEIKZADEH,Midfielder,22.01.1984,30,180
349588,Felipe GUTIERREZ,Midfielder,08.10.1990,23,175
330693,Andy NAJAR,Midfielder,16.03.1993,21,170
310048,Enoh EYONG,Midfielder,23.03.1986,28,180
268822,Jose CUBERO,Midfielder,14.02.1987,27,178
178963,Kolo TOURE,Defender,19.03.1981,33,183
297373,Vedran CORLUKA,Defender,05.02.1986,28,192
321641,Leonardo BONUCCI,Defender,01.05.1987,27,190
210212,RICARDO COSTA,Defender,16.05.1981,33,183
245156,Jose ROJAS,Defender,23.06.1983,30,174
299086,Lazaros CHRISTODOULOPOULOS,Midfielder,19.12.1986,27,182
367918,LUIZ GUSTAVO,Midfielder,23.07.1987,26,188
233703,Martin DEMICHELIS,Defender,20.12.1980,33,184
209827,Wilson PALACIOS,Midfielder,29.07.1984,29,181
275931,PEPE,Defender,26.02.1983,31,186
228936,Ignazio ABATE,Defender,12.11.1986,27,180
186787,Sergey IGNASHEVICH,Defender,14.07.1979,34,186
200262,Landry NGUEMO,Midfielder,28.11.1985,28,172
271253,Maya YOSHIDA,Defender,24.08.1988,25,189
251481,Pejman MONTAZERI,Defender,06.09.1983,30,186
233530,Marcelo DIAZ,Midfielder,30.12.1986,27,168
311148,Benedikt HOEWEDES,Defender,29.02.1988,26,187
375754,KIM Younggwon,Defender,27.02.1990,24,187
315429,Ogenyi ONAZI,Midfielder,25.12.1992,21,168
279417,Cristhian NOBOA,Midfielder,09.04.1985,29,181
267647,Uwa ECHIEJILE,Defender,20.01.1988,26,185
196748,Philipp LAHM,Midfielder,11.11.1983,30,170
207946,Souleymane BAMBA,Defender,13.01.1985,29,190
286259,Alvaro GONZALEZ,Midfielder,29.10.1984,29,175
358022,Jose CHOLEVAS,Defender,27.06.1984,29,184
313805,Heiner MORA,Defender,20.06.1984,29,179
233497,Masahiko INOHA,Defender,28.08.1985,28,179
311174,Fabian JOHNSON,Defender,11.12.1987,26,182
356409,Admir MEHMEDI,Forward,16.03.1991,23,183
183893,Jermaine JONES,Midfielder,03.11.1981,32,184
298664,Claudio MARCHISIO,Midfielder,19.01.1986,28,179
290824,Steven DEFOUR,Midfielder,15.04.1988,26,173
229439,Gonzalo JARA,Defender,29.08.1985,28,177
175689,THIAGO MOTTA,Midfielder,28.08.1982,31,187
300237,Dmitry KOMBAROV,Defender,22.01.1987,27,182
358014,Blaise MATUIDI,Midfielder,09.04.1987,27,175
299896,Domagoj VIDA,Defender,29.04.1989,25,184
289964,THIAGO SILVA,Defender,22.09.1984,29,182
291372,Yuto NAGATOMO,Defender,12.09.1986,27,170
228617,Mauricio ISLA,Defender,12.06.1988,26,177
216715,Ron VLAAR,Defender,16.02.1985,29,190
305768,Leighton BAINES,Defender,11.12.1984,29,172
229440,Jose FUENZALIDA,Midfielder,22.02.1985,29,170
339551,Brayan BECKELES,Defender,28.11.1985,28,186
200201,MIGUEL VELOSO,Midfielder,11.05.1986,28,181
